
2022-05-24 11:45:57,629 p=89984 u=moonja n=ansible | [DEPRECATION WARNING]: COMMAND_WARNINGS option, the command warnings feature is being 
removed. This feature will be removed from ansible-core in version 2.14. Deprecation 
warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2022-05-24 11:45:57,640 p=89984 u=moonja n=ansible | [WARNING]: Invalid characters were found in group names but not replaced, use -vvvv to see
details

2022-05-24 11:45:57,860 p=89984 u=moonja n=ansible | [DEPRECATION WARNING]: "include" is deprecated, use include_tasks/import_tasks instead. This
 feature will be removed in version 2.16. Deprecation warnings can be disabled by setting 
deprecation_warnings=False in ansible.cfg.
2022-05-24 11:45:57,911 p=89984 u=moonja n=ansible | PLAY [all] **********************************************************************************
2022-05-24 11:45:57,938 p=89984 u=moonja n=ansible | TASK [Gathering Facts] **********************************************************************
2022-05-24 11:45:59,302 p=89984 u=moonja n=ansible | ok: [co7-node01]
2022-05-24 11:45:59,731 p=89984 u=moonja n=ansible | ok: [co7-node03]
2022-05-24 11:45:59,738 p=89984 u=moonja n=ansible | ok: [co7-node02]
2022-05-24 11:45:59,744 p=89984 u=moonja n=ansible | ok: [co7-master]
2022-05-24 11:45:59,761 p=89984 u=moonja n=ansible | TASK [pgbackrest : Copy the vmwawre-postgres rpm file to all hosts in cluster] **************
2022-05-24 11:45:59,781 p=89984 u=moonja n=ansible | skipping: [co7-node01]
2022-05-24 11:45:59,795 p=89984 u=moonja n=ansible | skipping: [co7-node02]
2022-05-24 11:45:59,811 p=89984 u=moonja n=ansible | skipping: [co7-node03]
2022-05-24 11:46:00,937 p=89984 u=moonja n=ansible | ok: [co7-master]
2022-05-24 11:46:00,948 p=89984 u=moonja n=ansible | TASK [pgbackrest : Install VMware Postgres on all hosts as root] ****************************
2022-05-24 11:46:00,982 p=89984 u=moonja n=ansible | skipping: [co7-node01]
2022-05-24 11:46:00,997 p=89984 u=moonja n=ansible | skipping: [co7-node02]
2022-05-24 11:46:00,998 p=89984 u=moonja n=ansible | skipping: [co7-node03]
2022-05-24 11:46:07,769 p=89984 u=moonja n=ansible | ok: [co7-master]
2022-05-24 11:46:07,777 p=89984 u=moonja n=ansible | TASK [pgbackrest : Edit patroni.yml for pgBackrest] *****************************************
